show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,Movie,Sample Movie 1,Director 31,"Actor A, Actor B, Actor C",France,"July 02, 2023",2018,PG-13,88 min,Action,This is a sample movie description used for academic purposes.
s0002,Movie,Sample Movie 2,Director 28,"Actor A, Actor B, Actor C",Canada,"November 24, 2024",2002,PG,94 min,Thriller,This is a sample movie description used for academic purposes.
s0003,Movie,Sample Movie 3,Director 26,"Actor A, Actor B, Actor C",India,"June 14, 2018",2002,TV-MA,159 min,Thriller,This is a sample movie description used for academic purposes.
s0004,Movie,Sample Movie 4,Director 26,"Actor A, Actor B, Actor C",Brazil,"June 23, 2022",2011,TV-14,117 min,Action,This is a sample movie description used for academic purposes.
s0005,Movie,Sample Movie 5,Director 43,"Actor A, Actor B, Actor C",United Kingdom,"May 07, 2015",1999,G,102 min,Action,This is a sample movie description used for academic purposes.
s0006,Movie,Sample Movie 6,Director 19,"Actor A, Actor B, Actor C",Spain,"December 14, 2020",2012,TV-14,86 min,Thriller,This is a sample movie description used for academic purposes.
s0007,Movie,Sample Movie 7,Director 14,"Actor A, Actor B, Actor C",Germany,"August 19, 2019",1989,G,168 min,Drama,This is a sample movie description used for academic purposes.
s0008,Movie,Sample Movie 8,Director 10,"Actor A, Actor B, Actor C",India,"March 15, 2015",2013,PG-13,156 min,Documentary,This is a sample movie description used for academic purposes.
s0009,Movie,Sample Movie 9,Director 25,"Actor A, Actor B, Actor C",Brazil,"June 09, 2021",1983,R,84 min,Thriller,This is a sample movie description used for academic purposes.
s0010,Movie,Sample Movie 10,Director 33,"Actor A, Actor B, Actor C",India,"November 06, 2021",2019,PG,151 min,Drama,This is a sample movie description used for academic purposes.
s0011,Movie,Sample Movie 11,Director 22,"Actor A, Actor B, Actor C",Brazil,"November 21, 2021",1999,PG-13,164 min,Comedy,This is a sample movie description used for academic purposes.
s0012,Movie,Sample Movie 12,Director 3,"Actor A, Actor B, Actor C",United Kingdom,"January 07, 2016",2004,TV-14,179 min,Romance,This is a sample movie description used for academic purposes.
s0013,Movie,Sample Movie 13,Director 25,"Actor A, Actor B, Actor C",France,"February 09, 2018",2023,TV-14,140 min,Action,This is a sample movie description used for academic purposes.
s0014,Movie,Sample Movie 14,Director 13,"Actor A, Actor B, Actor C",France,"September 03, 2015",1990,TV-14,135 min,Romance,This is a sample movie description used for academic purposes.
s0015,Movie,Sample Movie 15,Director 47,"Actor A, Actor B, Actor C",Brazil,"August 17, 2016",2018,PG-13,169 min,Thriller,This is a sample movie description used for academic purposes.
s0016,Movie,Sample Movie 16,Director 9,"Actor A, Actor B, Actor C",Germany,"April 28, 2019",1996,PG,85 min,Documentary,This is a sample movie description used for academic purposes.
s0017,Movie,Sample Movie 17,Director 30,"Actor A, Actor B, Actor C",Canada,"June 26, 2019",2004,TV-14,148 min,Romance,This is a sample movie description used for academic purposes.
s0018,Movie,Sample Movie 18,Director 25,"Actor A, Actor B, Actor C",United States,"February 28, 2022",1987,PG-13,138 min,Documentary,This is a sample movie description used for academic purposes.
s0019,Movie,Sample Movie 19,Director 5,"Actor A, Actor B, Actor C",Canada,"September 14, 2015",1991,PG-13,103 min,Drama,This is a sample movie description used for academic purposes.
s0020,Movie,Sample Movie 20,Director 11,"Actor A, Actor B, Actor C",Spain,"November 15, 2015",1986,G,169 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0021,Movie,Sample Movie 21,Director 16,"Actor A, Actor B, Actor C",United Kingdom,"June 27, 2017",2008,G,170 min,Thriller,This is a sample movie description used for academic purposes.
s0022,Movie,Sample Movie 22,Director 42,"Actor A, Actor B, Actor C",United Kingdom,"January 19, 2018",2016,PG-13,154 min,Thriller,This is a sample movie description used for academic purposes.
s0023,Movie,Sample Movie 23,Director 23,"Actor A, Actor B, Actor C",United States,"April 22, 2020",1988,TV-14,107 min,Drama,This is a sample movie description used for academic purposes.
s0024,Movie,Sample Movie 24,Director 2,"Actor A, Actor B, Actor C",United Kingdom,"July 17, 2017",2021,TV-14,112 min,Drama,This is a sample movie description used for academic purposes.
s0025,Movie,Sample Movie 25,Director 44,"Actor A, Actor B, Actor C",India,"April 25, 2020",2002,TV-14,154 min,Romance,This is a sample movie description used for academic purposes.
s0026,Movie,Sample Movie 26,Director 16,"Actor A, Actor B, Actor C",Brazil,"February 11, 2015",2010,G,104 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0027,Movie,Sample Movie 27,Director 10,"Actor A, Actor B, Actor C",India,"January 11, 2021",1988,PG,135 min,Documentary,This is a sample movie description used for academic purposes.
s0028,Movie,Sample Movie 28,Director 27,"Actor A, Actor B, Actor C",Canada,"August 01, 2021",2010,TV-MA,119 min,Action,This is a sample movie description used for academic purposes.
s0029,Movie,Sample Movie 29,Director 33,"Actor A, Actor B, Actor C",United Kingdom,"February 10, 2022",1994,PG-13,169 min,Comedy,This is a sample movie description used for academic purposes.
s0030,Movie,Sample Movie 30,Director 18,"Actor A, Actor B, Actor C",France,"February 19, 2022",2019,G,163 min,Comedy,This is a sample movie description used for academic purposes.
s0031,Movie,Sample Movie 31,Director 40,"Actor A, Actor B, Actor C",United States,"January 07, 2022",2011,PG,127 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0032,Movie,Sample Movie 32,Director 6,"Actor A, Actor B, Actor C",Canada,"September 14, 2019",2014,PG,150 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0033,Movie,Sample Movie 33,Director 7,"Actor A, Actor B, Actor C",India,"March 21, 2023",2015,PG,156 min,Romance,This is a sample movie description used for academic purposes.
s0034,Movie,Sample Movie 34,Director 10,"Actor A, Actor B, Actor C",France,"March 23, 2021",2007,TV-MA,176 min,Comedy,This is a sample movie description used for academic purposes.
s0035,Movie,Sample Movie 35,Director 50,"Actor A, Actor B, Actor C",Germany,"August 07, 2022",2022,PG,152 min,Drama,This is a sample movie description used for academic purposes.
s0036,Movie,Sample Movie 36,Director 41,"Actor A, Actor B, Actor C",Spain,"April 08, 2024",1994,PG-13,164 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0037,Movie,Sample Movie 37,Director 35,"Actor A, Actor B, Actor C",Germany,"September 24, 2021",1982,G,132 min,Drama,This is a sample movie description used for academic purposes.
